일자,철근,철광석,유연탄,스크랩
2024-07,775,175,267,413
2024-08,803,179,252,412
2024-09,805,178,245,411
2024-10,824,151,226,399
2024-11,812,137,198,371
2024-12,779,138,199,392
2024-01,798,142,198,417
2024-02,802,142,193,397
2024-03,804,147,186,397
2024-04,787,150,190,389
2024-05,777,139,190,393
2024-06,798,136,180,351
2024-07,801,129,168,313
2024-08,776,108,146,355
2024-09,769,102,128,346
2024-10,739,116,129,309
2024-11,713,122,141,338
2024-12,701,131,145,384
2024-01,692,151,152,347
2024-02,706,155,155,338
2024-03,703,140,147,357
2024-04,688,137,134,347
2024-05,677,125,128,323
2024-06,665,115,120,330
2024-07,665,127,118,333
2024-08,664,137,130,335
2024-09,675,134,136,332
2024-10,673,132,131,330
2024-11,670,136,127,346
2024-12,676,136,121,368
2024-01,672,128,117,386
2024-02,666,121,111,374
2024-03,662,112,100,359
2024-04,654,114,101,366
2024-05,645,101,100,362
2024-06,635,93,97,353
2024-07,619,96,93,351
2024-08,616,93,93,351
2024-09,620,83,96,352
2024-10,612,80,98,342
2024-11,604,73,99,319
2024-12,582,70,102,304
2024-01,564,68,99,310
2024-02,543,63,95,271
2024-03,536,57,92,223
2024-04,531,52,110,224
2024-05,527,61,79,227
2024-06,560,63,83,237
2024-07,620,52,78,240
2024-08,609,56,75,219
2024-09,609,57,74,202
2024-10,577,53,75,191
2024-11,551,47,71,143
2024-12,509,41,72,139
2024-01,486,42,74,147
2024-02,498,47,72,155
2024-03,499,56,76,162
2024-04,546,60,82,189
2024-05,594,55,86,229
2024-06,569,52,85,231
2024-07,537,57,88,215
2024-08,528,61,106,205
2024-09,533,57,168,200
2024-10,508,59,202,181
2024-11,539,73,263,187
2024-12,578,80,234,223
2024-01,619,80,167,259
2024-02,593,87,150,263
2024-03,610,87,150,266
2024-04,632,70,232,268
2024-05,625,61,156,258
2024-06,635,58,136,260
2024-07,634,67,151,259
2024-08,639,75,171,269
2024-09,653,69,169,280
2024-10,675,61,152,262
2024-11,659,64,155,254
2024-12,670,72,179,274
2024-01,681,77,184,309
2024-02,631,78,196,314
2024-03,625,67,191,331
2024-04,619,65,175,344
2024-05,591,66,171,338
2024-06,639,65,184,329
2024-07,669,65,167,335
2024-08,683,67,159,321
2024-09,668,69,177,301
2024-10,699,73,185,305
2024-11,721,72,194,323
2024-12,711,71,185,325
2024-01,688,77,179,303
2024-02,694,89,180,294
2024-03,695,86,180,310
2024-04,696,93,178,296
2024-05,695,99,184,269
2024-06,696,111,179,238
2024-07,687,117,165,226
2024-08,666,90,140,242
2024-09,648,93,128,223
2024-10,610,89,125,189
2024-11,568,85,122,200
2024-12,539,91,121,222
2024-01,591,92,130,243
2024-02,590,87,142,236
2024-03,596,88,145,229
2024-04,645,84,111,202
2024-05,648,95,91,195
2024-06,638,103,91,205
2024-07,650,108,91,197
2024-08,643,123,86,204
2024-09,641,123,100,233
2024-10,665,120,107,241
2024-11,670,125,94,244
2024-12,678,156,94,298
2024-01,743,167,111,383
2024-02,750,168,135,367
2024-03,778,166,111,393
2024-04,853,178,105,393
2024-05,1073,203,118,402
2024-06,1255,216,154,443
2024-07,1098,208,181,454
2024-08,1203,163,202,437
2024-09,1103,121,299,417
2024-10,1060,119,334,409
2024-11,1045,93,311,438
2024-12,1036,113,293,458
2024-01,1043,135,417,429
2024-02,1078,141,446,401
2024-03,1106,152,609,448
2024-04,1147,152,471,517
2024-05,1180,134,506,469
2024-06,1159,131,372,418
2024-07,1106,108,243,373
2024-08,965,103,252,341
2024-09,972,99,263,319
2024-10,1001,92,294,307
2024-11,1043,95,282,297
2024-12,1020,112,267,298
2024-01,979,125,320,325
2024-02,954,127,365,352
2024-03,964,127,341,376
2024-04,999,115,261,377
2024-05,985,104,232,345
2024-06,954,112,231,313
2024-07,907,113,234,303
2024-08,869,109,254,308
2024-09,862,121,303,320
2024-10,855,119,354,320
2024-11,843,130,323,327
2024-12,821,137,325,350
2024-01,783,133,331,368
2024-02,775,124,313,368
